RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
owl:Class	subclass	lang:0000001	lang:1003440		Kosena				kze	I	L		Kosena language		
owl:Class	subclass	lang:0000001	lang:1003441		Da'a Kaili				kzf	I	L		Da'a Kaili language		
owl:Class	subclass	lang:0000001	lang:1003442		Kikai				kzg	I	L		Kikai language		
owl:Class	subclass	lang:0000001	lang:1003443		Kelabit				kzi	I	L		Kelabit language		
owl:Class	subclass	lang:0000001	lang:1003444		Kazukuru				kzk	I	E		Kazukuru language		
owl:Class	subclass	lang:0000001	lang:1003445		Kayeli				kzl	I	L		Kayeli language		
owl:Class	subclass	lang:0000001	lang:1003446		Kais				kzm	I	L		Kais language		
owl:Class	subclass	lang:0000001	lang:1003447		Kokola				kzn	I	L		Kokola language		
owl:Class	subclass	lang:0000001	lang:1003448		Kaningi				kzo	I	L		Kaningi language		
owl:Class	subclass	lang:0000001	lang:1003449		Kaidipang				kzp	I	L		Kaidipang language		
owl:Class	subclass	lang:0000001	lang:1003450		Kaike				kzq	I	L		Kaike language		
owl:Class	subclass	lang:0000001	lang:1003451		Karang				kzr	I	L		Karang language		
owl:Class	subclass	lang:0000001	lang:1003452		Sugut Dusun				kzs	I	L		Sugut Dusun language		
owl:Class	subclass	lang:0000001	lang:1003453		Kayupulau				kzu	I	L		Kayupulau language		
owl:Class	subclass	lang:0000001	lang:1003454		Komyandaret				kzv	I	L		Komyandaret language		
owl:Class	subclass	lang:0000001	lang:1003455		Karirí-Xocó				kzw	I	E		Karirí-Xocó language		
owl:Class	subclass	lang:0000001	lang:1003456		Kamarian				kzx	I	E		Kamarian language		
owl:Class	subclass	lang:0000001	lang:1003457		Kango (Tshopo District)				kzy	I	L		Kango (Tshopo District) language		
owl:Class	subclass	lang:0000001	lang:1003458		Kalabra				kzz	I	L		Kalabra language		
owl:Class	subclass	lang:0000001	lang:1003459		Southern Subanen				laa	I	L		Southern Subanen language		
owl:Class	subclass	lang:0000001	lang:1003460		Linear A				lab	I	A		Linear A language		
owl:Class	subclass	lang:0000001	lang:1003461		Lacandon				lac	I	L		Lacandon language		
owl:Class	subclass	lang:0000001	lang:1003462		Ladino		lad	lad	lad	I	L		Ladino language		
owl:Class	subclass	lang:0000001	lang:1003463		Pattani				lae	I	L		Pattani language		
owl:Class	subclass	lang:0000001	lang:1003464		Lafofa				laf	I	L		Lafofa language		
owl:Class	subclass	lang:0000001	lang:1003465		Langi				lag	I	L		Langi language		
owl:Class	subclass	lang:0000001	lang:1003466		Lahnda		lah	lah	lah	M	L		Lahnda language		
owl:Class	subclass	lang:0000001	lang:1003467		Lambya				lai	I	L		Lambya language		
owl:Class	subclass	lang:0000001	lang:1003468		Lango (Uganda)				laj	I	L		Lango (Uganda) language		
owl:Class	subclass	lang:0000001	lang:1003469		Laka (Nigeria)				lak	I	L		Laka (Nigeria) language		
owl:Class	subclass	lang:0000001	lang:1003470		Lalia				lal	I	L		Lalia language		
owl:Class	subclass	lang:0000001	lang:1003471		Lamba		lam	lam	lam	I	L		Lamba language		
owl:Class	subclass	lang:0000001	lang:1003472		Laru				lan	I	L		Laru language		
owl:Class	subclass	lang:0000001	lang:1003473		Lao	lo	lao	lao	lao	I	L		Lao language		
owl:Class	subclass	lang:0000001	lang:1003474		Laka (Chad)				lap	I	L		Laka (Chad) language		
owl:Class	subclass	lang:0000001	lang:1003475		Qabiao				laq	I	L		Qabiao language		
owl:Class	subclass	lang:0000001	lang:1003476		Larteh				lar	I	L		Larteh language		
owl:Class	subclass	lang:0000001	lang:1003477		Lama (Togo)				las	I	L		Lama (Togo) language		
owl:Class	subclass	lang:0000001	lang:1003478		Latin	la	lat	lat	lat	I	A		Latin language		
owl:Class	subclass	lang:0000001	lang:1003479		Laba				lau	I	L		Laba language		
owl:Class	subclass	lang:0000001	lang:1003480		Latvian	lv	lav	lav	lav	M	L		Latvian language		
owl:Class	subclass	lang:0000001	lang:1003481		Lauje				law	I	L		Lauje language		
owl:Class	subclass	lang:0000001	lang:1003482		Tiwa				lax	I	L		Tiwa language		
