RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Label	Part1	Part2L	Part2B	Part3	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	AL rdfs:label@es	AL rdfs:label@fr	AL rdfs:label@de	AL rdfs:label@it	A LANG:0000002	A LANG:0000003	A LANG:0000004	A  LANG:0000005	A  LANG:0000006	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en
owl:Class		BFO:0000031	LANG:0000001		Language	idioma	la langue	Sprache	linguaggio						"the words, their pronunciation, and the methods of combining them used and understood by a community"		Merriam-Webster https://www.merriam-webster.com/dictionary/languageowl:Class	subclass	LANG:0000001	LANG:10000001		Alumu-Tesu							aab		Alumu-Tesu language		
owl:Class	subclass	LANG:0000001	LANG:10000216		Alabama							akz		Alabama language		
owl:Class	subclass	LANG:0000001	LANG:10000217		Alago							ala		Alago language		
owl:Class	subclass	LANG:0000001	LANG:10000218		Qawasqar							alc		Qawasqar language		
owl:Class	subclass	LANG:0000001	LANG:10000219		Alladian							ald		Alladian language		
owl:Class	subclass	LANG:0000001	LANG:10000220		Aleut					ale	ale	ale		Aleut language		
owl:Class	subclass	LANG:0000001	LANG:10000221		Alege							alf		Alege language		
owl:Class	subclass	LANG:0000001	LANG:10000222		Alawa							alh		Alawa language		
owl:Class	subclass	LANG:0000001	LANG:10000223		Amaimon							ali		Amaimon language		
owl:Class	subclass	LANG:0000001	LANG:10000224		Alangan							alj		Alangan language		
owl:Class	subclass	LANG:0000001	LANG:10000225		Alak							alk		Alak language		
owl:Class	subclass	LANG:0000001	LANG:10000226		Allar							all		Allar language		
owl:Class	subclass	LANG:0000001	LANG:10000227		Amblong							alm		Amblong language		
owl:Class	subclass	LANG:0000001	LANG:10000228		Gheg Albanian							aln		Gheg Albanian language		
owl:Class	subclass	LANG:0000001	LANG:10000229		Larike-Wakasihu							alo		Larike-Wakasihu language		
owl:Class	subclass	LANG:0000001	LANG:10000230		Alune							alp		Alune language		
owl:Class	subclass	LANG:0000001	LANG:10000231		Algonquin							alq		Algonquin language		
owl:Class	subclass	LANG:0000001	LANG:10000232		Alutor							alr		Alutor language		
